Solution 1:
Total Switches: 835
Boundary Edges (580):
  count_char:796 -> count_char:797, Weight: 2, Domains: 0 -> 1
  find_cell:324 -> warc_cmp_sha1_digest:136, Weight: 0, Domains: 1 -> 0
  skip_short_body:948 -> skip_short_body:949, Weight: 2, Domains: 0 -> 1
  cookie_header:1031 -> count_char:796, Weight: 2, Domains: 1 -> 0
  url_uses_proxy:1339 -> getproxy:1290, Weight: 0, Domains: 0 -> 1
  count_nonprint:716 -> count_nonprint:717, Weight: 1, Domains: 0 -> 1
  connect_to_ip:314 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  gethttp:3698 -> fd_close:1016, Weight: 0, Domains: 1 -> 0
  request_send:366 -> debug_logprintf:583, Weight: 0, Domains: 1 -> 0
  url_string:2198 -> numdigit:1601, Weight: 2, Domains: 1 -> 0
  fd_write:960 -> fd_write:961, Weight: 2, Domains: 0 -> 1
  dot_finish:402 -> logputs:352, Weight: 0, Domains: 1 -> 0
  append_url:286 -> url_has_scheme:483, Weight: 0, Domains: 0 -> 1
  bind_local:479 -> sockaddr_size:164, Weight: 0, Domains: 0 -> 1
  url_parse:961 -> url_parse:963, Weight: 4, Domains: 1 -> 0
  digest_authentication_encode:4605 -> strdupdelim:242, Weight: 0, Domains: 0 -> 1
  hsts_match:374 -> hsts_remove_entry:241, Weight: 0, Domains: 1 -> 0
  resp_header_locate:674 -> resp_header_locate:675, Weight: 18, Domains: 1 -> 0
  hsts_new_entry_internal:192 -> hash_table_contains:372, Weight: 2, Domains: 0 -> 1
  hsts_new_entry_internal:196 -> hash_table_put:425, Weight: 2, Domains: 0 -> 1
  url_scheme:459 -> url_scheme:461, Weight: 8, Domains: 0 -> 1
  load_cookies:4844 -> cookie_jar_load:1184, Weight: 0, Domains: 1 -> 0
  hsts_store_close:586 -> hsts_store_close:589, Weight: 1, Domains: 0 -> 1
  register_download:868 -> register_download:870, Weight: 1, Domains: 0 -> 1
